Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 63, PH","Aboabo, PH",2059,2020-12-09,Uncertain,Production,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Commercial,Original Gas In Place,0
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Commercial,Field recovery factor,28
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Commercial,Technical recoverable resources,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Commercial,2P Reserves,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Commercial,Production,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Uncertain,Original Gas In Place,0
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Uncertain,Field recovery factor,28
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Uncertain,Technical recoverable resources,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Uncertain,2P Reserves,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 41 Hippo, PH","Wildebeest, PH",2046,2010-08-11,Uncertain,Production,
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Commercial,Original Gas In Place,0.3179651
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Commercial,Field recovery factor,50
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Commercial,Technical recoverable resources,
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Commercial,2P Reserves,
